|name      |ra           |dec          |spect_type  |vmag |
|HIP 28380 |05 59 43.2382|+37 12 45.951|A0p Si      | 2.65|
|HIP 61359 |12 34 23.2341|-23 23 47.843|G5II        | 2.65|
|HIP 6686  |01 25 48.6030|+60 14 07.452|A5Vv SB     | 2.66|
|HIP 67927 |13 54 41.1162|+18 23 54.915|G0IV        | 2.68|
|HIP 73273 |14 58 31.9541|-43 08 01.921|B2III       | 2.68|
|HIP 61585 |12 37 11.0837|-69 08 07.921|B2IV-V      | 2.69|
|HIP 52727 |10 46 46.1221|-49 25 12.451|G5III SB    | 2.69|
|HIP 23015 |04 56 59.6162|+33 09 58.087|K3IIvar     | 2.69|
|HIP 85696 |17 30 45.8388|-37 17 44.665|B2IV        | 2.70|
|HIP 35264 |07 17 08.5642|-37 05 50.953|K3Ib        | 2.71|
|HIP 97278 |19 46 15.5702|+10 36 47.767|K3II        | 2.72|
|HIP 89931 |18 20 59.6216|-29 49 40.941|K3III       | 2.72|
|HIP 80331 |16 23 59.5069|+61 30 50.671|G8III       | 2.73|
|HIP 79593 |16 14 20.7662|-03 41 38.312|M1III       | 2.73|
|HIP 61941 |12 41 40.0021|-01 26 58.280|F0V+...     | 2.74|
|HIP 52419 |10 42 57.4267|-64 23 40.126|B0Vp        | 2.74|
|HIP 26241 |05 35 25.9811|-05 54 35.639|O9III       | 2.75|
|HIP 65109 |13 20 36.0656|-36 42 43.492|A2V         | 2.75|
|HIP 72622 |14 50 52.7773|-16 02 29.798|A3IV        | 2.75|
|HIP 86742 |17 43 28.3769|+04 34 00.901|K2III       | 2.76|
|HIP 84345 |17 14 38.8624|+14 23 24.911|M5IIvar     | 2.78|
|HIP 23875 |05 07 51.0340|-05 05 10.546|A3IIIvar    | 2.78|
|HIP 80816 |16 30 13.2617|+21 29 22.735|G8III       | 2.78|
|HIP 85670 |17 30 25.9769|+52 18 04.892|G2II        | 2.79|
|HIP 59747 |12 15 08.7570|-58 44 56.046|B2IV        | 2.79|
