|name      |ra           |dec          |spect_type  |vmag |
|HIP 35427 |07 18 51.2791|-26 35 09.135|G2II        | 5.29|
|HIP 89439 |18 15 12.9055|-20 43 41.760|B0/1Ia/ab   | 5.29|
|HIP 48390 |09 51 53.0246|+24 23 44.857|A5IV        | 5.29|
|HIP 26868 |05 42 15.1909|-34 40 04.572|B9/B9.5V    | 5.29|
|HIP 11486 |02 28 09.9903|+29 40 10.338|F0III       | 5.29|
|HIP 8209  |01 45 38.6544|-25 03 08.763|F2IV        | 5.29|
|HIP 9312  |01 59 37.9895|+64 37 17.900|A0Vn        | 5.29|
|HIP 33316 |06 55 46.9299|-22 56 29.218|B2/B3III    | 5.29|
|HIP 983   |00 12 09.9489|-17 56 17.584|K4III       | 5.29|
|HIP 37704 |07 44 06.9234|+25 47 03.158|K5III       | 5.30|
|HIP 49809 |10 10 05.9595|-12 48 56.368|F2/F3IV/V   | 5.30|
|HIP 103511|20 58 16.3528|+22 19 33.303|K4III       | 5.30|
|HIP 100541|20 23 10.7094|+05 20 35.079|G8III-IV    | 5.30|
|HIP 43305 |08 49 21.7377|-03 26 34.694|B9MNp...    | 5.30|
|HIP 107151|21 42 15.4450|+05 40 48.545|M2III       | 5.30|
|HIP 34802 |07 12 15.8211|-40 29 55.602|A3p...      | 5.30|
|HIP 117730|23 52 37.1178|+10 56 50.382|A4Vn        | 5.30|
|HIP 103569|20 59 04.5429|+04 17 37.848|F5III...    | 5.30|
|HIP 12225 |02 37 24.2649|-52 32 35.118|A6V         | 5.30|
|HIP 116820|23 40 38.2121|-32 04 22.782|K0III       | 5.30|
|HIP 89773 |18 19 10.6746|+24 26 45.766|K4II SB     | 5.30|
|HIP 23467 |05 02 43.0049|-71 18 51.574|G8III       | 5.30|
|HIP 45290 |09 13 48.2299|+43 13 04.485|B8IIIMNp    | 5.30|
|HIP 47479 |09 40 42.6026|-57 59 00.858|A3IV        | 5.30|
|HIP 21914 |04 42 46.4565|-50 28 53.105|K0/K1III    | 5.30|
|HIP 39780 |08 07 45.8412|+21 34 55.126|G2IV        | 5.30|
|HIP 96808 |19 40 43.3412|-16 17 35.324|K1III       | 5.30|
|HIP 12489 |02 40 41.0332|+27 03 39.633|A3V         | 5.30|
|HIP 32411 |06 45 59.4012|-14 47 45.904|A1IV/V      | 5.30|
|HIP 99951 |20 16 47.0766|+24 40 16.112|G8III       | 5.30|
|HIP 21928 |04 42 54.2989|+43 21 54.952|A1Vn        | 5.30|
|HIP 16499 |03 32 26.3041|+46 03 25.356|F4IIIvar    | 5.30|
|HIP 114200|23 07 39.2776|+46 23 14.293|K5III       | 5.30|
|HIP 85084 |17 23 21.5909|-28 08 33.937|K4/K5III    | 5.30|
|HIP 105942|21 27 21.3642|+37 07 00.451|B3V         | 5.30|
|HIP 98421 |19 59 51.2800|-34 41 51.472|A4/A5IV     | 5.30|
|HIP 56034 |11 29 04.1625|+39 20 12.992|A2V         | 5.30|
|HIP 3231  |00 41 07.1954|+39 27 31.217|G8III       | 5.30|
|HIP 38962 |07 58 20.7477|+02 13 28.292|K0III       | 5.30|
|HIP 104365|21 08 33.6129|-21 11 36.691|A0V         | 5.30|
|HIP 59654 |12 14 02.7269|-45 43 26.148|K3III       | 5.31|
|HIP 85667 |17 30 23.8716|-01 03 45.013|G8IV-V      | 5.31|
|HIP 94150 |19 09 52.6223|-68 25 27.639|G8/K0III/IV | 5.31|
|HIP 110649|22 24 56.1927|-57 47 47.797|F9V         | 5.31|
|HIP 57562 |11 47 54.9318|+08 14 45.115|A1          | 5.31|
|HIP 55016 |11 15 51.8968|+13 18 27.335|K3III       | 5.31|
|HIP 45544 |09 16 57.0987|-39 24 05.237|K2III       | 5.31|
|HIP 37701 |07 44 04.1877|+50 26 01.900|A0IIIn      | 5.31|
|HIP 27243 |05 46 27.3660|-46 35 49.992|K0/K1II     | 5.31|
|HIP 104974|21 15 44.8276|-15 10 17.445|M2III       | 5.31|
|HIP 43671 |08 53 50.6008|-47 31 14.591|Am          | 5.31|
|HIP 80945 |16 31 41.7713|-41 49 01.711|B1Ia        | 5.31|
|HIP 64577 |13 14 10.9697|-19 55 52.805|G8III/IV    | 5.31|
|HIP 56997 |11 41 03.0252|+34 12 09.217|G8Vvar      | 5.31|
|HIP 10366 |02 13 36.0197|+51 03 58.440|G8III:var   | 5.31|
|HIP 10819 |02 19 16.8476|+47 22 47.956|A1V         | 5.31|
|HIP 15770 |03 23 13.1764|+49 12 47.988|B5V         | 5.32|
|HIP 84177 |17 12 27.8057|+10 35 06.824|M2III       | 5.32|
|HIP 21515 |04 37 13.6762|+00 59 53.978|B7V         | 5.32|
|HIP 57111 |11 42 28.4279|+66 44 41.311|K3III       | 5.32|
|HIP 5518  |01 10 39.2655|+68 46 43.275|A0Vnn       | 5.32|
|HIP 98624 |20 01 52.4041|-66 56 37.652|K2IVCN...   | 5.32|
|HIP 26126 |05 34 16.7901|+03 46 00.961|A2V         | 5.32|
|HIP 97749 |19 51 50.5902|-39 52 27.617|A0p         | 5.32|
|HIP 103882|21 02 57.9746|-38 37 52.258|F3V         | 5.32|
|HIP 18957 |04 03 44.6038|+05 26 08.295|B3V         | 5.32|
|HIP 74649 |15 15 11.3665|+04 56 21.668|K0III       | 5.32|
|HIP 65479 |13 25 14.1358|-64 29 06.332|F2III       | 5.32|
|HIP 80208 |16 22 28.0061|-49 34 20.248|B6IV        | 5.32|
|HIP 72489 |14 49 19.0910|-14 08 56.349|Ap          | 5.32|
|HIP 73049 |14 55 44.6947|-33 51 20.808|A0V         | 5.32|
|HIP 60449 |12 23 35.4494|-35 24 45.573|B8/B9V      | 5.32|
|HIP 99461 |20 11 11.6082|-36 05 50.583|K2V         | 5.32|
|HIP 41260 |08 25 03.7578|-24 02 46.544|K4/K5III    | 5.32|
|HIP 112781|22 50 22.7460|-80 07 25.732|B6IV        | 5.32|
|HIP 38146 |07 49 01.6966|-24 54 44.076|G2          | 5.32|
|HIP 14168 |03 02 42.2593|-07 41 07.667|K0II-III    | 5.32|
|HIP 52911 |10 49 15.4326|+10 32 42.941|A2V         | 5.32|
|HIP 41909 |08 32 42.5247|+20 26 28.574|K3III       | 5.33|
|HIP 40817 |08 19 48.9956|-71 30 53.987|B9III/IV    | 5.33|
|HIP 64823 |13 17 15.6234|+13 40 32.329|K3III       | 5.33|
|HIP 22730 |04 53 22.7553|+02 30 29.754|M1III       | 5.33|
|HIP 23879 |05 07 52.8732|+08 29 54.865|Am          | 5.33|
|HIP 93124 |18 58 14.7473|+17 21 39.371|F8Ib        | 5.33|
|HIP 98438 |20 00 03.3073|+17 30 59.547|M4IIIa      | 5.33|
|HIP 97421 |19 48 01.1016|-56 21 44.199|A9Vn        | 5.33|
|HIP 90074 |18 22 53.0780|-36 40 10.173|B7Ib/II     | 5.33|
|HIP 52678 |10 46 16.5785|-64 30 52.509|B7:V        | 5.33|
|HIP 39734 |08 07 18.0461|-20 33 15.645|A3Ib/II     | 5.33|
|HIP 109786|22 14 18.0177|-21 04 28.923|K1III       | 5.33|
|HIP 41822 |08 31 35.7669|+18 05 40.408|K5III       | 5.33|
|HIP 41616 |08 29 04.7582|-47 55 44.182|B2IV        | 5.33|
|HIP 116264|23 33 28.0877|+22 29 55.742|M5IIIa      | 5.33|
|HIP 20161 |04 19 16.6452|-44 16 04.189|K2III       | 5.33|
|HIP 5131  |01 05 40.9276|+21 28 23.578|A1Vn        | 5.33|
|HIP 22834 |04 54 47.7939|+07 46 44.988|K1III       | 5.33|
|HIP 17563 |03 45 40.4304|+06 03 00.105|B3V         | 5.34|
|HIP 113327|22 57 04.4938|+48 41 02.692|B4IIIpe     | 5.34|
|HIP 110000|22 16 48.0435|-12 49 53.211|K1III       | 5.34|
|HIP 26001 |05 32 59.5247|-64 13 39.051|G8/K0III    | 5.34|
|HIP 76866 |15 41 47.3917|+12 50 51.139|A0p Sr      | 5.34|
|HIP 33048 |06 53 05.0617|+59 26 55.158|G4III...    | 5.34|
|HIP 32489 |06 46 49.4945|+57 10 09.374|K0III       | 5.34|
|HIP 82587 |16 52 58.1203|+31 42 06.175|F0V         | 5.34|
|HIP 58884 |12 04 38.9468|-68 19 44.028|A0V         | 5.34|
|HIP 43414 |08 50 34.6807|-66 47 35.610|F5IV        | 5.34|
|HIP 29704 |06 15 25.1270|+16 08 35.541|B7V         | 5.34|
|HIP 63117 |12 55 57.1397|-56 50 08.895|O9Ib        | 5.34|
|HIP 13490 |02 53 42.5782|+38 20 15.645|F4Vvar      | 5.34|
|HIP 59184 |12 08 14.7297|-48 41 32.893|A1V         | 5.34|
|HIP 36896 |07 35 08.8171|+30 57 39.276|K0III       | 5.34|
|HIP 107788|21 50 08.6440|+17 17 09.445|F2III-IV    | 5.34|
|HIP 109654|22 12 47.8111|+34 36 16.966|K2III       | 5.34|
|HIP 20186 |04 19 36.6870|+21 46 24.930|A0p Si      | 5.34|
|HIP 96288 |19 34 41.2573|+42 24 45.305|A2V         | 5.34|
|HIP 103127|20 53 40.1522|-39 48 34.662|K2III       | 5.34|
|HIP 50888 |10 23 29.4137|-38 00 34.953|A8V         | 5.34|
|HIP 70469 |14 24 48.6606|-24 48 22.559|K0III       | 5.34|
|HIP 40215 |08 12 48.7886|+68 28 26.595|G8II        | 5.34|
|HIP 9440  |02 01 14.7963|-30 00 05.637|G8III       | 5.34|
|HIP 46107 |09 24 09.7294|-80 47 13.939|F3/F5IV     | 5.34|
|HIP 24817 |05 19 11.2296|+02 35 45.370|F5IIvar     | 5.34|
|HIP 25980 |05 32 41.3544|-01 35 30.599|B1IV        | 5.34|
|HIP 30247 |06 21 46.1081|+53 27 08.623|F5III...    | 5.34|
|HIP 31789 |06 38 49.1866|+39 54 09.316|B8III       | 5.34|
|HIP 22157 |04 46 01.7008|+11 42 20.190|Am...       | 5.35|
|HIP 82802 |16 55 22.2379|+18 25 59.462|K4III       | 5.35|
|HIP 29246 |06 09 58.9946|+58 56 08.335|G8III       | 5.35|
|HIP 75119 |15 21 02.0208|+00 42 56.123|K3III       | 5.35|
|HIP 66936 |13 43 03.8842|+03 32 17.087|K1III       | 5.35|
|HIP 80782 |16 29 42.3305|-46 14 35.590|B1.5Iap     | 5.35|
|HIP 116709|23 39 08.3474|+50 28 18.255|B9V         | 5.35|
|HIP 6706  |01 26 15.2786|+19 10 20.355|F2V:var     | 5.35|
|HIP 36439 |07 29 55.8566|+49 40 21.583|F6V         | 5.35|
|HIP 46811 |09 32 19.2707|-40 38 57.556|G8III       | 5.35|
|HIP 4371  |00 56 01.5060|-11 15 59.425|K4III       | 5.35|
|HIP 28946 |06 06 35.0897|+38 28 57.980|A4m         | 5.35|
|HIP 92953 |18 56 16.9726|-42 42 38.166|G6III-IV    | 5.35|
|HIP 110273|22 20 11.9076|-07 49 15.981|B8IIIMNp... | 5.35|
|HIP 86182 |17 36 37.6259|+48 35 07.723|K1III       | 5.35|
|HIP 3951  |00 50 43.5725|+64 14 51.291|A4V comp SB | 5.35|
|HIP 94385 |19 12 40.7037|-07 56 22.203|B3V         | 5.35|
|HIP 35957 |07 24 43.8682|-31 48 32.134|K1III       | 5.35|
|HIP 115355|23 21 54.9260|+31 48 44.932|B6III       | 5.35|
|HIP 77907 |15 54 37.8771|+43 08 18.263|M3III       | 5.35|
|HIP 42604 |08 41 01.0480|+45 50 01.627|G0IV        | 5.35|
|HIP 79050 |16 08 07.5210|-26 19 35.993|M2III       | 5.35|
|HIP 11258 |02 24 53.9945|-60 18 41.864|F2III       | 5.36|
|HIP 27658 |05 51 21.9834|-07 31 04.809|B2IV-V      | 5.36|
|HIP 84821 |17 20 09.8266|+25 32 15.518|A3III       | 5.36|
|HIP 26063 |05 33 31.4469|-01 09 21.858|B1V         | 5.36|
|HIP 40107 |08 11 33.0298|-07 46 20.914|G8III       | 5.36|
|HIP 75439 |15 24 45.0284|-39 42 36.474|Ap...       | 5.36|
|HIP 5268  |01 07 18.5726|-61 46 30.943|G5III       | 5.36|
|HIP 11791 |02 32 09.4363|-01 02 05.343|G3III:      | 5.36|
|HIP 29490 |06 12 51.0528|+65 43 06.597|K2II-III    | 5.36|
|HIP 58510 |11 59 56.9237|+03 39 18.782|A1V         | 5.36|
|HIP 47723 |09 43 43.9015|+14 01 18.145|M2III       | 5.36|
|HIP 3138  |00 39 55.5539|+21 26 18.832|F3V...      | 5.36|
|HIP 110109|22 18 15.1825|-53 37 31.929|G1V         | 5.36|
|HIP 52405 |10 42 40.5738|-59 12 56.753|B2.5Ia      | 5.36|
|HIP 89605 |18 17 07.5375|-56 01 23.952|B3IIIpe     | 5.36|
|HIP 45410 |09 15 13.8767|+14 56 29.532|K1III       | 5.36|
|HIP 35083 |07 15 21.0802|-30 41 11.308|B2V         | 5.36|
|HIP 3632  |00 46 32.9760|+15 28 32.203|M4III       | 5.36|
|HIP 38846 |07 56 57.8092|-43 30 01.526|B2.5V       | 5.36|
|HIP 52638 |10 45 51.9122|+30 40 56.647|A1Vn        | 5.36|
|HIP 92989 |18 56 40.4907|-37 20 35.460|B3V         | 5.36|
|HIP 29996 |06 18 50.5804|-09 23 23.868|K1III       | 5.36|
|HIP 37853 |07 45 35.1779|-34 10 35.583|G0V         | 5.36|
|HIP 18993 |04 04 09.7876|+02 49 38.109|F6IV        | 5.36|
|HIP 76628 |15 38 54.5073|-19 18 06.153|G8III/IV    | 5.36|
|HIP 34987 |07 14 20.0657|+03 06 41.117|K0III       | 5.36|
|HIP 65301 |13 23 01.1453|-17 44 06.734|K0III       | 5.36|
|HIP 72131 |14 45 17.2467|-62 52 31.630|A7Vn        | 5.36|
|HIP 21730 |04 39 58.0336|+53 28 23.651|A8V         | 5.36|
|HIP 116889|23 41 34.5138|-18 01 36.845|K4/K5III    | 5.36|
|HIP 102599|20 47 33.5565|+80 33 08.465|K1III       | 5.36|
|HIP 35987 |07 24 58.1891|+11 40 10.415|A5IV        | 5.37|
|HIP 63432 |12 59 55.2759|+66 35 50.307|K2III       | 5.37|
|HIP 28949 |06 06 38.7403|-04 11 37.769|B5IV        | 5.37|
|HIP 109592|22 12 02.0143|+60 45 32.659|K1III       | 5.37|
|HIP 54746 |11 12 33.1456|-49 06 03.881|A2III       | 5.37|
|HIP 73223 |14 57 53.1574|-76 39 45.418|K4III       | 5.37|
|HIP 110298|22 20 27.5649|+05 47 22.174|B5IV        | 5.37|
|HIP 92112 |18 46 22.2639|+75 26 01.670|A1Vn        | 5.37|
|HIP 113957|23 04 39.5709|-53 57 52.730|K5III       | 5.37|
|HIP 35848 |07 23 28.9749|-27 50 03.421|K4III       | 5.37|
|HIP 23482 |05 02 48.7254|-49 09 05.304|F2V         | 5.37|
|HIP 92111 |18 46 20.5884|-22 23 31.864|K5III       | 5.37|
|HIP 49081 |10 01 01.0203|+31 55 28.973|G1V         | 5.37|
|HIP 26248 |05 35 27.1205|+24 02 22.697|B2.5IV      | 5.37|
|HIP 80337 |16 24 01.2352|-39 11 34.759|G3/G5V      | 5.37|
|HIP 90763 |18 31 04.8452|-32 59 20.405|A5V         | 5.37|
|HIP 60978 |12 29 57.3990|+58 24 19.896|A5e...      | 5.37|
|HIP 29730 |06 15 40.5078|+59 59 56.523|K3III       | 5.37|
|HIP 109404|22 09 55.7114|-34 00 54.128|A5IV        | 5.37|
|HIP 8230  |01 45 59.2658|-05 43 59.617|K4III       | 5.37|
|HIP 39117 |08 00 11.7562|+73 55 04.836|K3III       | 5.37|
|HIP 79804 |16 17 15.3387|+59 45 17.860|M4IIIa      | 5.37|
|HIP 88380 |18 02 51.0979|-24 16 56.729|F2/F3II/III | 5.37|
|HIP 30565 |06 25 28.6510|-69 41 26.832|G8III       | 5.37|
|HIP 94712 |19 16 21.7440|-45 27 57.825|K3III       | 5.38|
|HIP 90642 |18 29 40.9625|-01 59 06.812|K0III       | 5.38|
|HIP 97650 |19 50 46.8030|-10 45 48.920|F0V         | 5.38|
|HIP 60379 |12 22 49.4723|-57 40 33.963|B9V         | 5.38|
|HIP 21670 |04 39 06.1029|+07 52 15.555|A5m         | 5.38|
|HIP 45571 |09 17 17.4005|-68 41 22.461|F4V         | 5.38|
|HIP 35589 |07 20 38.8149|-52 05 09.331|B9V         | 5.38|
|HIP 1645  |00 20 35.8642|+08 11 24.893|K3III       | 5.38|
|HIP 46404 |09 27 46.9171|-06 04 15.703|G2V         | 5.38|
|HIP 18859 |04 02 36.6567|-00 16 05.918|F5V         | 5.38|
|HIP 62572 |12 49 13.8005|+83 24 46.289|A1IIIsh     | 5.38|
|HIP 91217 |18 36 27.8361|+09 07 22.140|F5III       | 5.38|
|HIP 60781 |12 27 28.8762|-58 59 30.370|M4/M5III    | 5.38|
|HIP 75178 |15 21 48.6091|+32 56 01.179|B9Vn        | 5.38|
|HIP 77858 |15 53 53.9232|-24 31 59.144|B5V         | 5.38|
|HIP 73095 |14 56 17.2250|-52 48 34.441|A2III       | 5.38|
|HIP 3330  |00 42 28.2971|-65 28 05.268|F6V         | 5.38|
|HIP 109521|22 11 09.7760|+50 49 23.842|A5V         | 5.38|
|HIP 84862 |17 20 39.4736|+32 28 12.981|G0V         | 5.38|
|HIP 70931 |14 30 20.9927|-49 31 08.136|A1V         | 5.38|
|HIP 2568  |00 32 35.4008|+20 17 39.960|K0III       | 5.38|
|HIP 38722 |07 55 39.9042|+19 53 02.640|A0Vs        | 5.38|
|HIP 20430 |04 22 34.9304|+25 37 45.688|B9V         | 5.38|
|HIP 1960  |00 24 47.4886|+61 49 51.828|B9III       | 5.38|
|HIP 103732|21 01 10.9225|+46 09 20.754|B1V         | 5.38|
|HIP 24799 |05 19 00.0193|+33 44 54.477|A0p...      | 5.38|
|HIP 92202 |18 47 28.9761|-05 42 18.255|K0Ibpvar    | 5.38|
|HIP 99031 |20 06 21.9294|+35 58 24.740|K0IV        | 5.38|
|HIP 12086 |02 35 46.7975|+34 41 15.658|M3III       | 5.38|
|HIP 100965|20 28 14.4545|+81 25 21.609|G9III       | 5.38|
|HIP 91013 |18 33 56.6987|+52 21 12.634|K0III       | 5.38|
|HIP 105665|21 24 09.5982|-20 51 05.617|K0III       | 5.38|
|HIP 66849 |13 42 01.1219|-58 47 13.379|B9IV        | 5.38|
|HIP 20264 |04 20 38.9972|-20 38 22.556|A0V         | 5.38|
|HIP 23221 |04 59 50.4409|-10 15 46.774|G4V         | 5.39|
|HIP 29850 |06 17 06.6167|+09 56 33.130|A2V         | 5.39|
|HIP 4890  |01 02 49.1917|-46 23 50.417|G8III       | 5.39|
|HIP 32677 |06 48 57.7383|-15 08 40.959|B7IV        | 5.39|
|HIP 19513 |04 10 49.8810|+26 28 51.742|F2IV-V      | 5.39|
|HIP 77227 |15 46 05.6498|-01 48 14.816|B8III       | 5.39|
|HIP 71500 |14 37 20.1650|-46 08 00.287|K0III       | 5.39|
|HIP 84979 |17 22 05.8790|-70 07 23.444|B8/B9Vn...  | 5.39|
|HIP 96302 |19 34 50.9186|+29 27 46.480|A0V+...     | 5.39|
|HIP 56391 |11 33 37.2638|-40 35 12.132|A2IV/V      | 5.39|
|HIP 97534 |19 49 25.2929|-72 30 12.291|A4III       | 5.39|
|HIP 39538 |08 04 47.1862|+79 28 47.074|A0p...      | 5.39|
|HIP 114389|23 10 01.4711|+09 49 19.564|B9III       | 5.39|
|HIP 13202 |02 49 54.1511|-27 56 31.328|A1V         | 5.39|
|HIP 32494 |06 46 52.6938|-51 15 55.618|K1II/IIIp+G:| 5.39|
|HIP 101483|20 33 56.9969|+13 01 37.925|A3IVs       | 5.39|
|HIP 22044 |04 44 25.7696|+11 08 46.210|F0V         | 5.39|
|HIP 71618 |14 38 50.2817|+44 24 16.362|A1V         | 5.39|
|HIP 82764 |16 54 55.1352|+20 57 30.544|G8III       | 5.39|
|HIP 105966|21 27 40.0300|+27 36 30.757|A1V         | 5.39|
|HIP 78459 |16 01 02.7990|+33 18 19.397|G2V         | 5.39|
|HIP 79195 |16 09 50.5323|-03 28 00.231|K4III       | 5.39|
|HIP 55650 |11 24 02.3367|+01 24 27.949|G8IIICN...  | 5.39|
|HIP 46735 |09 31 32.4496|+35 06 12.632|M1III       | 5.39|
|HIP 18396 |03 55 58.1579|+47 52 17.292|B6V         | 5.39|
|HIP 93299 |19 00 13.6709|+50 32 00.452|B2.5IV      | 5.39|
|HIP 89851 |18 20 08.7684|-15 49 53.771|K3III       | 5.39|
|HIP 12653 |02 42 33.1585|-50 48 02.976|G3IV        | 5.40|
|HIP 21036 |04 30 37.2986|+13 43 28.021|F0V         | 5.40|
|HIP 4914  |01 03 02.6046|-04 50 10.862|K0III-IV    | 5.40|
|HIP 20376 |04 21 47.5831|+60 44 09.246|M0III       | 5.40|
|HIP 25499 |05 27 10.0888|+17 57 44.164|B5V         | 5.40|
|HIP 93717 |19 04 57.6595|-04 01 52.878|K1III       | 5.40|
|HIP 54849 |11 13 45.5801|-00 04 10.231|A0V         | 5.40|
|HIP 35795 |07 23 00.7030|-31 55 25.645|B3V         | 5.40|
|HIP 98962 |20 05 32.7251|+61 59 42.894|K3III       | 5.40|
|HIP 46454 |09 28 27.3769|+09 03 24.376|F9V         | 5.40|
|HIP 43721 |08 54 14.7047|+30 34 45.038|G7III       | 5.40|
|HIP 80214 |16 22 29.2223|+33 42 12.085|K5III       | 5.40|
|HIP 70602 |14 26 27.4083|+19 13 36.606|F0m         | 5.40|
|HIP 93713 |19 04 55.1696|+53 23 47.771|A0Vn        | 5.40|
|HIP 31579 |06 36 32.8377|+38 26 43.988|C5II        | 5.40|
|HIP 80399 |16 24 39.7262|-29 42 16.069|G0          | 5.40|
|HIP 26536 |05 38 38.0996|+30 29 32.789|A2V + GIII  | 5.40|
|HIP 65728 |13 28 27.1781|+59 56 44.531|A1Vn        | 5.40|
|HIP 91989 |18 44 57.1499|-39 41 10.223|K1/K2III+.. | 5.40|
|HIP 93526 |19 02 54.4919|-03 41 56.413|A1V         | 5.40|
|HIP 17854 |03 49 13.7008|+70 52 16.329|A2m         | 5.40|
|HIP 47080 |09 35 40.0274|+35 48 38.761|G8IV-V      | 5.40|
|HIP 76013 |15 31 30.8206|-73 23 22.367|B1npe       | 5.40|
|HIP 46471 |09 28 39.9947|+45 36 06.461|K0III-IV    | 5.40|
|HIP 105143|21 17 57.2766|-17 59 06.491|B5II/III    | 5.40|
|HIP 80693 |16 28 33.9773|+00 39 54.602|K4IIIp      | 5.41|
|HIP 102773|20 49 18.2751|-68 46 35.041|K0III       | 5.41|
|HIP 37450 |07 41 15.8281|-38 32 00.859|B3V         | 5.41|
|HIP 89772 |18 19 09.5633|+07 15 35.143|K2III       | 5.41|
|HIP 36363 |07 29 05.7110|-38 48 43.578|B3V         | 5.41|
|HIP 32912 |06 51 26.9791|-70 57 48.504|B7IV        | 5.41|
|HIP 96693 |19 39 26.4664|+42 49 05.562|B9III       | 5.41|
|HIP 35855 |07 23 31.9008|-32 12 07.483|B2/B3II/III | 5.41|
|HIP 69989 |14 19 16.2169|+13 00 15.758|F5IV        | 5.41|
|HIP 930   |00 11 34.4170|-27 47 59.202|K2III       | 5.41|
|HIP 97646 |19 50 44.7768|-59 11 37.094|A0IV        | 5.41|
|HIP 90023 |18 22 08.6932|+23 17 05.954|K5III       | 5.41|
|HIP 77859 |15 53 55.8721|-23 58 40.930|B2V         | 5.41|
|HIP 104750|21 13 17.2672|-27 37 08.611|K3III       | 5.41|
|HIP 67288 |13 47 25.3546|-17 51 35.149|M2III       | 5.41|
|HIP 34301 |07 06 40.7687|-11 17 38.467|B0.5IV      | 5.41|
|HIP 77060 |15 44 04.4204|-15 40 21.646|A6IV        | 5.41|
|HIP 91235 |18 36 37.3499|+33 28 08.535|B8II-IIIp.. | 5.41|
|HIP 83838 |17 08 02.0809|+35 56 06.774|A5m         | 5.41|
|HIP 85537 |17 28 49.6927|+00 19 50.077|A8V         | 5.41|
|HIP 102177|20 42 12.6268|+50 20 24.074|B2V         | 5.41|
|HIP 3544  |00 45 17.2035|+55 13 17.071|A2Vs        | 5.41|
|HIP 61621 |12 37 42.2266|-27 08 19.172|F0V         | 5.41|
|HIP 7450  |01 35 58.9572|-15 24 00.777|K1III       | 5.41|
|HIP 70794 |14 28 41.7307|-06 54 01.490|K5III       | 5.42|
|HIP 57512 |11 47 19.1690|-57 41 47.570|K5III       | 5.42|
|HIP 50333 |10 16 40.7512|+13 43 42.137|M1III       | 5.42|
|HIP 31299 |06 33 49.4913|-36 13 56.162|K3III       | 5.42|
|HIP 5951  |01 16 36.3467|-02 30 00.766|G5III-IVe   | 5.42|
|HIP 20776 |04 27 02.8947|+80 49 27.157|G6III:      | 5.42|
|HIP 11046 |02 22 12.4069|-00 53 05.065|F0Vn        | 5.42|
|HIP 9589  |02 03 11.6057|+00 07 42.434|A5III       | 5.42|
|HIP 2240  |00 28 26.4175|-39 54 53.647|M0III       | 5.42|
|HIP 114273|23 08 40.8412|+02 07 39.425|G8IV        | 5.42|
|HIP 761   |00 09 21.0207|-27 59 16.454|F3V         | 5.42|
|HIP 36778 |07 33 51.0495|-36 20 18.246|B2Vne       | 5.42|
|HIP 101800|20 37 49.0961|+11 22 39.708|A2V         | 5.42|
|HIP 62223 |12 45 07.8288|+45 26 24.808|C7Iab       | 5.42|
|HIP 41817 |08 31 30.9440|-19 34 38.782|B9.5IV/V    | 5.42|
|HIP 91494 |18 39 35.1848|-43 11 08.792|M2III       | 5.42|
|HIP 32311 |06 44 45.4647|+28 58 15.561|K4III       | 5.42|
|HIP 80390 |16 24 31.7654|-37 33 57.492|B8V         | 5.42|
|HIP 6592  |01 24 40.7733|-41 29 32.852|K0III       | 5.42|
|HIP 3721  |00 47 46.0197|+74 50 51.315|B8III       | 5.42|
|HIP 61309 |12 33 38.9046|+33 14 51.576|K0IIICN...  | 5.42|
|HIP 44818 |09 08 00.0714|+29 39 15.218|G8III       | 5.42|
|HIP 105972|21 27 46.1574|+66 48 32.926|B7V         | 5.42|
|HIP 8814  |01 53 17.3519|+40 43 47.279|K1III       | 5.42|
|HIP 79387 |16 12 07.2893|-08 32 51.286|A4V         | 5.43|
|HIP 9372  |02 00 26.7719|-08 31 25.774|M3III       | 5.43|
|HIP 25769 |05 30 10.2097|+63 04 02.035|M1III       | 5.43|
|HIP 11029 |02 22 01.4406|-10 46 38.404|F0V         | 5.43|
|HIP 109472|22 10 37.4646|-11 33 53.852|B5III       | 5.43|
|HIP 47956 |09 46 20.4187|-76 46 33.533|G8III       | 5.43|
|HIP 74941 |15 18 49.1468|-60 29 46.764|O7Iab:      | 5.43|
|HIP 87728 |17 55 11.1378|+72 00 18.482|F2.5II-III  | 5.43|
|HIP 43082 |08 46 30.5511|-45 54 45.059|B3Ia        | 5.43|
|HIP 23983 |05 09 19.6043|+09 49 46.552|A2m         | 5.43|
|HIP 113521|22 59 27.4025|+00 57 47.130|K1III:      | 5.43|
|HIP 51585 |10 32 11.7984|+14 08 13.954|M2III       | 5.43|
|HIP 92614 |18 52 16.4327|+21 25 30.599|B9p...      | 5.43|
|HIP 76618 |15 38 49.5048|-52 22 21.431|B9V         | 5.43|
|HIP 43908 |08 56 41.8833|-85 39 47.644|F0III       | 5.43|
|HIP 112731|22 49 46.2286|+55 54 09.664|K1III       | 5.43|
|HIP 83962 |17 09 47.9179|-10 31 22.935|F5IV        | 5.43|
|HIP 54173 |11 04 54.2095|-35 48 16.880|A0V         | 5.43|
|HIP 12768 |02 44 05.1581|+44 17 49.397|G0Ib        | 5.43|
|HIP 112832|22 51 02.1457|-39 09 24.544|K3III       | 5.43|
|HIP 108661|22 00 50.2151|-28 27 13.454|B8/B9V+...  | 5.43|
|HIP 78246 |15 58 34.8743|-24 49 53.147|B5V         | 5.43|
|HIP 78012 |15 55 47.5651|+37 56 48.348|F0IV        | 5.43|
